Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1470819600.0 160134.908 NA 111 0 NA NA NA NA NA 166 0 NA NA NA NA NA 948 27 NA NA NA NA NA 1415 34 NA NA NA NA
1470819600.0 160134.909 NA 97 0 NA NA NA NA NA 160 0 NA NA NA NA NA 1052 28 NA NA NA NA NA 2105 88 NA NA NA NA
1470819600.0 160134.91 NA 95 0 NA NA NA NA NA 160 0 NA NA NA NA NA 894 28 NA NA NA NA NA 1075 39 NA NA NA NA
1470819600.0 160134.911 NA 96 0 NA NA NA NA NA 156 0 NA NA NA NA NA 1002 28 NA NA NA NA NA 1127 40 NA NA NA NA
1470819600.0 17.0 NA 67 167 0 NA NA NA NA 140 227 0 NA NA NA NA 1742 1298 764 NA NA NA NA 1880 1423 778 NA NA NA
1470819600.0 18.0 NA 61 168 0 NA NA NA NA 139 227 0 NA NA NA NA 1873 1075 742 NA NA NA NA 1902 1114 762 NA NA NA
1470819600.0 19.0 NA 67 168 0 NA NA NA NA 140 227 0 NA NA NA NA 1746 1139 747 NA NA NA NA 1886 1250 764 NA NA NA
1470819600.0 2.0 53 79 122 NA NA NA NA 100 143 171 NA NA NA NA 4568 334 459 NA NA NA NA 4697 368 483 NA NA NA NA
1470819600.0 20.0 NA 73 168 0 NA NA NA NA 140 227 0 NA NA NA NA 1755 1425 721 NA NA NA NA 1861 1693 762 NA NA NA
1470819600.0 200.0 NA 75 187 0 NA NA NA NA 140 251 0 NA NA NA NA 806 1487 790 NA NA NA NA 1233 1931 812 NA NA NA
1470819600.0 202.0 NA 72 186 0 NA NA NA NA 140 250 0 NA NA NA NA 698 1538 780 NA NA NA NA 1041 1891 810 NA NA NA
1470819600.0 203.0 NA 75 185 0 NA NA NA NA 140 256 0 NA NA NA NA 829 1537 789 NA NA NA NA 1265 1945 803 NA NA NA
1470819600.0 204.0 52 82 181 0 NA NA NA 98 150 248 0 NA NA NA 3885 738 1264 730 NA NA NA 4195 1482 1999 755 NA NA NA
1470819600.0 205.0 NA 73 181 0 NA NA NA NA 140 249 0 NA NA NA NA 708 1229 776 NA NA NA NA 1148 1726 794 NA NA NA
1470819600.0 21.0 NA 63 168 0 NA NA NA NA 139 227 0 NA NA NA NA 1805 1722 716 NA NA NA NA 1898 1900 733 NA NA NA
1470819600.0 22.0 NA 67 167 0 NA NA NA NA 140 224 0 NA NA NA NA 1713 2144 648 NA NA NA NA 1779 2193 668 NA NA NA
1470819600.0 23.0 NA 65 170 0 NA NA NA NA 140 227 0 NA NA NA NA 1765 1837 655 NA NA NA NA 1859 1898 671 NA NA NA
1470819600.0 24.0 NA 68 171 0 NA NA NA NA 140 228 0 NA NA NA NA 1661 2334 635 NA NA NA NA 1696 2407 1565 NA NA NA
1470819600.0 25.0 NA 69 180 0 53 NA NA NA 139 238 0 83 NA NA NA 1714 2610 597 61 NA NA NA 1757 2668 605 72 NA NA
1470819600.0 250199.0 120 NA NA NA NA NA NA 181 NA NA NA NA NA NA 3335 NA NA NA NA NA NA 4030 NA NA NA NA NA NA
1470819600.0 250200.1 61 159 166 NA NA NA NA 107 224 227 NA NA NA NA 3643 1157 1828 NA NA NA NA 3868 1364 1943 NA NA NA NA
1470819600.0 250399.0 105 NA NA NA NA NA NA 184 NA NA NA NA NA NA 1090 NA NA NA NA NA NA 4811 NA NA NA NA NA NA
1470819600.0 250400.0 188 0 98 NA NA NA NA 262 0 143 NA NA NA NA 1181 174 396 NA NA NA NA 1417 190 462 NA NA NA NA
1470819600.0 250402.0 187 0 93 NA NA NA NA 264 0 144 NA NA NA NA 1244 175 410 NA NA NA NA 1409 187 508 NA NA NA NA
1470819600.0 250403.0 188 0 94 NA NA NA NA 261 0 143 NA NA NA NA 1080 167 377 NA NA NA NA 1195 191 469 NA NA NA NA
1470819600.0 250405.0 187 0 93 NA NA NA NA 264 0 144 NA NA NA NA 1144 171 416 NA NA NA NA 1240 189 518 NA NA NA NA
1470819600.0 250406.0 192 0 95 NA NA NA NA 263 0 143 NA NA NA NA 975 176 338 NA NA NA NA 1116 189 387 NA NA NA NA
1470819600.0 250407.0 174 0 93 NA NA NA NA 247 0 145 NA NA NA NA 934 138 339 NA NA NA NA 1291 154 415 NA NA NA NA
1470819600.0 250408.0 193 0 96 NA NA NA NA 266 0 144 NA NA NA NA 1302 174 477 NA NA NA NA 1431 188 524 NA NA NA NA
1470819600.0 250409.0 193 0 92 NA NA NA NA 272 0 144 NA NA NA NA 1780 178 571 NA NA NA NA 1920 193 880 NA NA NA NA
1470819600.0 25400.0 217 0 91 NA NA NA NA 307 0 144 NA NA NA NA 3419 188 412 NA NA NA NA 4589 194 576 NA NA NA NA
