Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1470646800.0 134.802 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1470646800.0 134.803 NA 45 385 0 NA NA 96 475 0 NA NA 339 11766 577 NA NA 352 4095 601 NA
1470646800.0 134.804 NA 45 400 0 NA NA 95 482 0 NA NA 373 13631 620 NA NA 401 4597 637 NA
1470646800.0 134.805 NA 45 392 0 NA NA 97 492 0 NA NA 396 14603 573 NA NA 385 4912 591 NA
1470646800.0 134.806 NA 45 405 0 NA NA 92 493 0 NA NA 369 14106 568 NA NA 342 4599 579 NA
1470646800.0 134.807 NA 95 402 0 NA NA 156 515 0 NA NA 852 8845 410 NA NA 2971 3152 421 NA
1470646800.0 134.808 NA 87 408 0 NA NA 157 506 0 NA NA 732 8928 404 NA NA 2242 3639 414 NA
1470646800.0 134.809 NA 41 380 0 NA NA 95 465 0 NA NA 409 12495 558 NA NA 423 4579 569 NA
1470646800.0 134.81 NA 44 389 0 NA NA 93 474 0 NA NA 340 13006 601 NA NA 344 4939 613 NA
1470646800.0 134.811 NA 46 394 0 NA NA 98 478 0 NA NA 353 13033 577 NA NA 370 4342 593 NA
1470646800.0 134.812 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1470646800.0 134.813 NA 189 71 0 NA NA 266 106 0 NA NA 1265 129 178 NA NA 798 131 191 NA
1470646800.0 134.901 NA 44 368 0 NA NA 89 461 0 NA NA 278 6865 645 NA NA 294 2769 658 NA
1470646800.0 134.902 NA 42 373 0 NA NA 97 470 0 NA NA 298 9500 646 NA NA 339 3529 659 NA
1470646800.0 134.903 NA 44 371 0 NA NA 97 473 0 NA NA 300 8973 594 NA NA 295 3735 616 NA
1470646800.0 134.904 NA 46 382 0 NA NA 95 477 0 NA NA 313 10155 542 NA NA 343 3697 611 NA
1470646800.0 134.905 NA 46 382 0 NA NA 96 475 0 NA NA 314 8232 575 NA NA 383 3166 588 NA
1470646800.0 134.906 NA 45 372 0 NA NA 96 480 0 NA NA 314 9751 584 NA NA 323 3718 600 NA
1470646800.0 134.907 NA 86 395 0 NA NA 155 485 0 NA NA 521 5871 389 NA NA 673 2555 399 NA
1470646800.0 134.908 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1470646800.0 134.909 NA 46 373 0 NA NA 94 459 0 NA NA 306 10154 615 NA NA 303 3626 692 NA
1470646800.0 134.91 NA 45 375 0 NA NA 95 460 0 NA NA 320 7474 557 NA NA 309 2819 572 NA
1470646800.0 134.911 NA 41 374 0 NA NA 95 468 0 NA NA 299 10162 597 NA NA 350 4097 623 NA
1470646800.0 134.912 NA 40 365 0 NA NA 91 473 0 NA NA 260 5855 546 NA NA 255 2421 556 NA
1470646800.0 134.99601 NA 46 392 0 NA NA 94 481 0 NA NA 359 16339 581 NA NA 353 5378 614 NA
1470646800.0 134.99602 NA 45 374 0 NA NA 95 465 0 NA NA 292 7738 555 NA NA 296 3027 569 NA
1470646800.0 134.99603 NA 46 385 0 NA NA 95 471 0 NA NA 372 12096 565 NA NA 347 4376 579 NA
1470646800.0 134.99901 NA 45 372 0 NA NA 94 463 0 NA NA 352 8925 570 NA NA 356 3368 583 NA
1470646800.0 1340.0 NA 196 442 0 NA NA 295 553 0 NA NA 899 2717 1817 NA NA 676 2648 1827 NA
1470646800.0 1341.0 NA 213 470 0 NA NA 344 585 0 NA NA 853 2252 1284 NA NA 571 1808 1298 NA
1470646800.0 1343.0 NA 203 449 0 NA NA 322 554 0 NA NA 1176 3439 1958 NA NA 786 3051 1972 NA
1470646800.0 1344.0 NA 194 449 0 NA NA 329 565 0 NA NA 1153 3435 1993 NA NA 772 3099 2011 NA
1470646800.0 1345.0 NA 206 449 0 NA NA 339 565 0 NA NA 1155 3337 1931 NA NA 760 3061 1985 NA
1470646800.0 1347.0 NA 199 450 0 NA NA 344 555 0 NA NA 661 1943 1275 NA NA 492 1833 1289 NA
1470646800.0 1348.0 NA 184 445 0 NA NA 331 545 0 NA NA 1141 3222 2182 NA NA 862 3141 2198 NA
1470646800.0 1349.0 NA 195 451 0 NA NA 326 569 0 NA NA 1130 3374 1930 NA NA 815 3592 1953 NA
1470646800.0 135.1 408 0 108 NA NA 540 0 179 NA NA 2127 490 435 NA NA 1300 507 392 NA NA
1470646800.0 135.11 429 0 120 NA NA 553 0 177 NA NA 1775 262 510 NA NA 1061 270 745 NA NA
1470646800.0 135.12 412 0 113 NA NA 525 0 171 NA NA 1273 243 226 NA NA 814 262 272 NA NA
1470646800.0 135.13 361 0 NA NA NA 470 0 NA NA NA 1122 229 NA NA NA 686 235 NA NA NA
1470646800.0 135.2 358 0 102 NA NA 474 0 175 NA NA 1492 383 374 NA NA 1211 395 435 NA NA
1470646800.0 135.3 367 0 110 NA NA 470 0 175 NA NA 871 221 207 NA NA 727 228 244 NA NA
1470646800.0 135.4 409 0 112 NA NA 520 0 170 NA NA 1968 493 385 NA NA 1321 502 400 NA NA
1470646800.0 135.5 411 0 109 NA NA 526 0 175 NA NA 1167 255 214 NA NA 779 272 238 NA NA
1470646800.0 135.6 411 0 119 NA NA 527 0 173 NA NA 1280 244 236 NA NA 841 255 255 NA NA
1470646800.0 135.7 406 0 106 NA NA 526 0 170 NA NA 1965 573 389 NA NA 1329 589 450 NA NA
1470646800.0 135.8 157 NA NA NA NA 251 NA NA NA NA 745 NA NA NA NA 902 NA NA NA NA
1470646800.0 135.9 384 0 111 NA NA 514 0 168 NA NA 1044 218 191 NA NA 754 228 242 NA NA
1470646800.0 1350.0 NA 191 447 0 NA NA 332 551 0 NA NA 970 3102 2146 NA NA 719 3005 2164 NA
1470646800.0 1351.0 NA 204 452 0 NA NA 304 542 0 NA NA 637 1912 1207 NA NA 494 2335 1219 NA
1470646800.0 1352.0 NA 194 455 0 NA NA 346 554 0 NA NA 659 1775 1205 NA NA 503 1702 1226 NA
1470646800.0 1353.0 NA 203 462 0 NA NA 320 555 0 NA NA 1244 3346 2173 NA NA 914 3164 2190 NA
1470646800.0 1354.0 NA 191 456 0 NA NA 345 560 0 NA NA 691 1848 1259 NA NA 505 1722 1276 NA
1470646800.0 1355.0 NA 216 451 0 NA NA 323 568 0 NA NA 1356 3916 2149 NA NA 867 3493 2162 NA
1470646800.0 1356.0 87 204 450 0 112 172 299 570 0 173 7002 656 1836 1199 242 2548 490 1736 1219 273
1470646800.0 136.721 NA 193 416 0 NA NA 276 509 0 NA NA 3750 9004 726 NA NA 1551 3563 738 NA
1470646800.0 136.722 NA 202 427 0 NA NA 287 545 0 NA NA 4543 10138 813 NA NA 1609 4062 822 NA
1470646800.0 136.723 NA 194 419 0 NA NA 285 528 0 NA NA 4153 10001 834 NA NA 1345 3799 843 NA
1470646800.0 136.724 NA 213 430 0 NA NA 291 515 0 NA NA 4899 11772 721 NA NA 1542 4410 730 NA
1470646800.0 136.725 NA 205 424 0 NA NA 285 515 0 NA NA 4114 9837 738 NA NA 1359 3786 748 NA
1470646800.0 136.726 NA 200 437 0 NA NA 289 542 0 NA NA 4586 10406 761 NA NA 1464 4284 778 NA
1470646800.0 136.727 NA 239 436 0 NA NA 339 558 0 NA NA 7093 15251 1176 NA NA 14689 6021 1188 NA
1470646800.0 136.728 NA 236 443 0 NA NA 336 539 0 NA NA 7491 17415 1173 NA NA 2849 7146 1185 NA
1470646800.0 136.729 NA 199 418 0 NA NA 282 510 0 NA NA 4052 10083 798 NA NA 1735 3773 820 NA
1470646800.0 136.73 NA 205 444 0 NA NA 287 556 0 NA NA 4339 10265 758 NA NA 1447 3925 774 NA
1470646800.0 136.731 NA 204 420 0 NA NA 294 508 0 NA NA 4512 10341 746 NA NA 1744 4018 761 NA
1470646800.0 136.732 NA 188 408 0 NA NA 275 493 0 NA NA 2329 7076 763 NA NA 1262 3336 774 NA
1470646800.0 136.7321 NA 186 440 0 NA NA 275 535 0 NA NA 2338 7317 730 NA NA 965 3146 752 NA
1470646800.0 136.733 NA 188 78 0 NA NA 272 115 0 NA NA 1513 233 183 NA NA 1332 312 202 NA
1470646800.0 136.734 NA 208 419 0 NA NA 283 513 0 NA NA 4603 9886 717 NA NA 1426 3728 727 NA
1470646800.0 136.735 NA 172 336 0 NA NA 259 428 0 NA NA 1520 4291 1058 NA NA 1438 3043 1071 NA
1470646800.0 1360.0 114 204 463 0 NA 237 329 555 0 NA 5871 580 1741 1204 NA 4666 645 1638 1223 NA
1470646800.0 1361.0 87 195 453 0 NA 228 336 549 0 NA 6895 645 1948 1193 NA 4313 462 1810 1236 NA
1470646800.0 1362.0 85 197 443 0 NA 231 301 560 0 NA 7278 957 3200 1808 NA 6271 705 10836 1851 NA
1470646800.0 1363.0 100 200 457 0 NA 222 323 563 0 NA 10919 1177 3140 1806 NA 7140 756 2874 1829 NA
1470646800.0 1364.0 NA 186 443 0 NA NA 320 551 0 NA NA 1124 3146 2030 NA NA 824 3003 2071 NA
